id,published,sectionOrder,title,code,term,programs,credits,instructorName,instructorUrl,subtitle,descriptionShort,descriptionMore,tstCode,format,meetingDay,meetingTime,syllabusUrl,requiredBooks,prerequisites,cstcArea,certificateTags,enrolmentNotes,registrationEmail,lastDateToRegister,maxEnrolment,updatedAt
260004-w27-ec9bf,TRUE,,Christian Deeper Learning: From Wonder to Inquiry to Practice,260004,winter27,mael cstc,3 Credits,Dr. Edith van der Boom,https://faculty.icscanada.edu/evanderboom,MA-EL Instructional Concentration * CSTC Area 3,"*Christian Deeper Learning: From Wonder to Inquiry to Practice* is a course which seeks to help Christian educators develop deeper learning. We will consider what it means to be image-bearers of God called to care for our neighbours and to be engaged in real work that is part of God’s story. Our consideration of these ideas will inform classroom practices and signature pedagogies in apparent, unintended, and even transformative ways. Together we will examine the importance of global citizenship as a form of deeper learning and the impact it has on developing a caring and just world.",,,Blended (Online Asynchronous/Synchronous),,,https://docs.google.com/document/d/e/2PACX-1vT7tquK4SkiNYQVfGTspZ-hsC6VTHtfIhSuhnUzzkhwFl35RNYUjdaPCCn8v64teQ/pub,"1. Crouch, A. (2008). Culture Making: Recovering our Creative Calling. InterVarsity Press.

Google Books sells it as an eBook

Students can buy the book directly through the publisher, InterVarsity Press.

Barnes and Noble also sells the book.",,Area 3,CSTC,"To register for this course, email academic-registrar@icscanada.edu. Last date to register is January 4. Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,January 4,12,2026-05-19
how-to-finance-a-vision-setting-2a265,TRUE,,How to Finance a Vision: Setting Direction and Managing Change within Financial Limitations,260007,winter27,mael,3 Credits,Dr. Gideon Strauss,https://faculty.icscanada.edu/gstrauss,,"*How to Finance a Vision* is a course for new and aspiring principals and leadership teams. The course provides frameworks and tools for leadership in making the connections between the vision of a school, the budgeting process, and fundraising.","The course starts with an introduction to Henri Nouwen’s spirituality of fundraising. It continues with an introduction to the basic financial documents that a principal should be able to read. It explores the art of communicating the story told by school budgets as a necessary element of fundraising. It concludes with the processes necessary to gain competency in working with both school boards and staffs (with an emphasis on financial and advancement staff) on the financial aspects of school management.

*How to Finance a Vision* is a remote learning course consisting of three synchronous discussions and three virtual school visits using online video and thirteen weeks of asynchronous online interaction.",,Blended (Online Asynchronous/Synchronous),,,https://docs.google.com/document/d/e/2PACX-1vSrdAbUPVMtYG_lhBmde5ga0ldWhVuyoF3mAUqwtHPB43QpQ6mj4V8JYrdk1j6xK4Sa-N3BpNw6BmUW/pub,,,,,"To register for this course, email academic-registrar@icscanada.edu. Last date to register January 4, 2027. Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,2027-01-04 0:00:00,12,2026-05-19
imagining-the-world-with-ricoeur-525af,TRUE,,"Imagining the World with Ricoeur: Narrative, Action, and the Sacred in Ricoeur's Hermeneutic Phenomenology",120504 / 220504,winter27,ma mws phd,3 Credits,Dr. Ron Kuipers,https://faculty.icscanada.edu/rkuipers,,"This course will focus primarily on two essay collections by Paul Ricoeur: *From Text to Action: Essays in Hermeneutics, II*, as well as *Figuring the Sacred: Religion, Narrative, and Imagination*. These collections cover (roughly) a period from the early 1970’s to the early 1990’s. Together, they form an excellent introduction to Ricoeur’s hermeneutical phenomenology, which he developed as an alternative to those theoretical options, such as psychoanalysis and semiotics, with which he struggled throughout the 1960’s.","In addition to exploring Ricoeur’s evolving thoughts on such topics as textual interpretation, action, imagination, revelation, and a religious imaginary, these essays will also serve seminar participants as an effective springboard into Ricoeur’s larger thematic works, such as *Rule of Metaphor, Time and Narrative*(Vols. I-III), *Oneself as Another, or Memory, History, Forgetting*. Beginning with *From Text to Action*, the seminar will explore the general shape of Ricoeur’s hermeneutical phenomenology, including such themes as text, action, explanation, understanding, ideology, and utopia. With this basic grasp of Ricoeur’s hermeneutical phenomenology in hand, we will go on to explore his understanding of the disclosive force of religious texts and uses of language in the anthology *Figuring the Sacred*. Among other things, Ricoeur there ponders how Christian communities might best face the task of appropriating a textual heritage from which time has distanced them, and concerning which they have lost a certain original naivety. This seminar will explore Ricoeur’s recommendation that Christians risk assuming a “second naivety” as they take up the responsibility of receiving and interpreting their religious tradition for a new generation. Imagining the world with Ricoeur, we will discuss how his recommendations on this score might help or hinder our effort to find meaning and inspiration amidst the crises and fragmentations that run through contemporary life.",ICT3732HS / ICT6732HS L0101,Online Synchronous,Thursdays,3:00pm - 6:00pm ET,https://docs.google.com/document/d/e/2PACX-1vQMjVjX2uY7JVogglm7EvbWp-Mw8thlyueTbHUH1HF26PtFeDkyV99tPFk193cfvg/pub,,,,,"To register for this course, email academic-registrar@icscanada.edu. Last date to register January 8. Maximum enrolment of 12 students. ICS reserves the right to decline registrations.
Attention TST students: you have to contact the ICS Registrar to complete your registration.*",academic-registrar@icscanada.edu,2027-01-08 0:00:00,12,2026-05-19
albert-the-great-meister-eckhar-1ae3e,TRUE,,"Albert the Great, Meister Eckhart, and Women’s Spirituality",220409,winter27,ma phd,3 Credits,Dr. Robert (Bob) Sweetman,https://faculty.icscanada.edu/bsweetman,,This seminar examines Meister Eckhart’s mystical discourse and its conceptual configuration as a ‘contradictory monism’ against the backdrop of the “Dionysian” tradition of Albert the Great (and Thomas Aquinas) and the current efflorenscence of women’s mysticism represented by Marguerite Porete.,,ICH5155HS L0101,Online Synchronous,Thursdays,10:00am - 1:00pm,https://docs.google.com/document/d/e/2PACX-1vQXFaDeBx8NB9bWoKSiKon-xgtKHF6V-Hce-x5-A_bupXtFy8EK8L5qCTEmjFpU2nQ1RqpVZ06lGa70/pub,,,,,Attention TST students: you have to contact the ICS Registrar to complete your registration.,,,,2026-05-19
240811-w27-33cf2,TRUE,,God in Flesh and Blood: Revolutions in Christology,240811,winter27,ma phd,3 Credits,Dr. Nik Ansell,https://faculty.icscanada.edu/nansell,Biblical Theology Seminar * TST Cross-Listed,"Although theologians often approach “Christology” by asking how Jesus of Nazareth might be best understood in terms of certain systematic concerns or doctrinal positions—a perspective that gives rise to questions such as: How are the divine and human natures of Christ related?, What are the merits of, or alternatives to, substitutionary atonement?, and How might a virginal conception thwart the transmission of original sin?—those who are more oriented to the discipline of “biblical theology” are more likely to prioritize how the New Testament portrayal of Jesus is related to the narrative movement—or movements—of the Hebrew Bible. This leads either to a different set of questions or (just as importantly) to a different angle on the kinds of questions asked above. This course, on potential revolutions in Christological thinking, will draw on contemporary NT scholarship in order to explore this latter approach.","To what extent do the OT themes of exile and return, old age and new age, help deepen our understanding of the birth and crucifixion of the Messiah? If the NT portrays the first followers of Jesus as worshipping him (and as doing so before and not just after the Resurrection), is it implicitly or explicitly calling us to worship Jesus’s humanity as well as his divinity? Does Mary’s encounter with Gabriel, who is a named presence in the Hebrew Bible/Old Testament only in the Book of Daniel, indicate that her conception of Jesus is to be read apocalyptically? Is it significant that Elizabeth initially greets Mary with words otherwise associated with Jael and Judith? These are some of the exegetical and theological questions we will consider in this engagement with issues at the edge, and at the heart, of contemporary Christology. Conversation partners will include: James Dunn (*Did the First Christians Worship Jesus?*), Jane Schaberg (*The Illegitimacy of Jesus)*, and N.T. Wright (*The Day the Revolution Began*).",ICT3201H / ICT6201 L6201,Online Synchronous,Tuesdays,10am - 1pm ET,https://docs.google.com/document/d/e/2PACX-1vTaitMzLwsFvvOtrMivY-JEDtUm673hDCWKT7O91uTA-gP2AOhr3pZGVlTaijathnACRft5rbYNf3Ym/pub,"1. *N.T. Wright, The Day the Revolution Began: Reconsidering the Meaning of Jesus’s Crucifixion (San Francisco: HarperOne, 2016).
Students can also buy the book directly from the publisher, HarperCollins.

As well, our US-based students can buy the book from Barnes & Noble.

2. ""Students must purchase one of the following books but do not need to purchase both.""
OPTION A: **James Dunn, Did the First Christians Worship Jesus? The New Testament Evidence (Louisville, NJ: Westminster John Knox Press, 2010).
They can also buy the eBook for $10 from Google Books.
Chapters/Indigo sells both the print book and eBook ($15.99, Kobo).
Barnes and Noble also sells both the print and eBook versions.
OPTION B: **Jane Schaberg, The Illegitimacy of Jesus: A Feminist Theological Interpretation of the Infancy Narratives. Expanded Twentieth Anniversary Edition (Sheffield: Sheffield Phoenix Press, 2006).
Thriftbooks is another option.
Abebooks is another option.
Barnes and Noble also sells the print version.",NOTE: Completion of 1108AC or 2108AC is a prerequisite for enrolling in this course.,,,Attention TST students: you have to contact the ICS Registrar to complete your registration. *,,,,2026-05-19
223001-w27-322e6,TRUE,,Material Spirituality: Rethinking Religion,223001,winter27,ma phd,3 Credits,Dr. Neal DeRoo,https://faculty.icscanada.edu/neal-deroo,Phenomenology of Religion,"This course will make the case that religion must be understood as shaping how we experience the world and not simply as a distinct kind of experience (e.g., religious experience v. artistic experience v. ethical experience). In doing so, the course will bring together work in religious studies, phenomenology of religion, phenomenological philosophy, secularism studies, and Continental philosophy of religion to show that religion is both constituted within historical and material conditions and is partly constitutive of those conditions. In that way, what it offers is not simply a materialist account of religion, but an account of material spirituality in which religion can be located and contextualized. Please note that the course will not assume prior familiarity with phenomenology.",,,Online Synchronous,Wednesday,2pm - 5pm ET,https://drive.google.com/file/d/1q-XY_t2iU9pLD-aEZ4hGy_h3pPgorWsb/view?usp=drive_link,,,,,Attention TST students: you have to contact the ICS Registrar to complete your registration.,,,,2026-05-19
2105ac-w27-be0ac,TRUE,,Meaning/Being/Knowing: The Disciplinary and Interdisciplinary Implications of a Christian Ontology,2105AC,winter27,ma phd,3 Credits,Dr. Nik Ansell,https://faculty.icscanada.edu/nansell,In Partnership with Calvin University,"“Meaning is the being of all that has been created and the nature even of our selfhood.” With these enigmatic words, which form part of the introduction to his magisterial New Critique of Theoretical Thought, the neo-Calvinist philosopher Herman Dooyeweerd signals his intention to de-centre the central concern of Ontology by relativizing (which is to say thoroughly relating) the philosophical notion of Being to Meaning, even to the point of (re-)defining creation’s being as meaning—all in the conviction that this will enable us to engage in (rather than circumvent or supersede) the work of Ontology (and thus Epistemology) in a truly systematic, integrally Christian, way. Although it might seem as though Dooyeweerd is merely substituting one metaphysical idea for another, his reference to the nature of our selfhood here indicates that, for all its theoretical import for Philosophical Anthropology, this highly suggestive proposal also has profound implications for how we might both appreciate and pull upon our deepest (religious) self-knowledge, which takes shape before the face of God as we face the world. To do the work of Ontology well—to gain genuine insight into the “nature of things” and to identify the contours and coherence of the world’s general structures without undermining investigation or denaturing experience—will require that we also draw upon a pre-theoretical form of Knowing, and a spiritual grounding and hope, that will always precede and exceed our understanding.","Implicit in Dooyeweerd’s vision of and for Ontology, we might say, is the provocative claim that creation does not “have” meaning but “is” meaning (a paraphrase that, tellingly, uses the language of Being to relativize Being). But what does Dooyeweerd mean by “meaning”? And what difference might this systematically relational, spiritually open, with-reference-to-self-and-beyond re-centering make (a) to the detailed, nitty-gritty work that needs to be done in any given academic field, and (b) to the theoretical integration that requires both intra- and inter-disciplinary reflection? After an opening discussion about the phenomenon of “post-truth,” to which we shall return at the end of the course, we shall explore the inter-play between Meaning, Being, and Knowing via a close reading of Hendrik Hart’s Understanding Our World: An Integral Ontology, paying careful attention to the ways in which his interpretation of Dooyeweerd’s ideas—not least the discussion of “meaning” that occurs at the midpoint of his Appendix (see 8.1.4) and in a pivotal section within his central chapter (see 4.4 and 405–406n37)—might deepen our insight into how what is known in faith and articulated via our web of beliefs can help us identify and evaluate the core concepts and the conceptual-ontological connections that play such an integral, influential role in the scholarly disciplines with which we are engaged. In paying attention to develop ments in Hart’s Ontology and Epistemology since the publication of this work, we shall also ask whether the broadly Dooyeweerdian position he initially adopts is as post-metaphysical as it may first appear.

In this iteration of the course, we shall pay special attention to the central concerns of political theory and aesthetics, including their respective interests in the way we posit societal principles and protect, reveal, expand, and find ourselves via the symbols that make up the fabric of our life, history, and society. In further probing the relationship between the aesthetic and political dimensions of created meaning, and between the mystery of our selfhood and the structural contours of reality, we shall also be asking what the development of an Ontology in the Reformational tradition might offer to the scholarly search for disciplinary integrity and interdisciplinary integration—this being a neo-Calvinism in which the unity and diversity we rightly seek are typically seen as covenantally, rather than ontotheologically, grounded.

Given this relational emphasis, we may well wonder what might happen if “Being” were to make way for—or make a way for—“Loving.” Perhaps, following Dooyeweerd’s (post-metaphysical?) turn to “Meaning,” we may find that a Christian scholarly approach to knowing and understanding our world and ourselves “after Being” may have something new to say to the peril and promise of life “post-truth”!",,Online Synchronous,Wednesday,6:00 - 9:00pm ET,,"1. Jeffrey Dudiak, *Post-Truth? Facts and Faithfulness* (Eugene, OR: Wipf and Stock, 2022).

Amazon CA, Barnes & Noble.

2. Henk Hart, *Understanding Our World: An Integral Ontology* (Lanham, MD: University Press of

America, 1984).

Amazon CA has some used copies in hardcover that are more affordable than the paperback. If ordering a print copy, please order this book as soon as possible because there will be shipping delays both due to the upcoming holiday season as well as shipping from outside of Canada. Thriftbooks may sell copies. Abebooks sells used copies.",NOTE: Completion of 1107AC or 2107AC is a prerequisite for enrolling in this course.,,,,,,,2026-05-19
223501-f26-b1ef0,TRUE,,Attention in the Age of Distraction,223501,fall26,ma phd,3 Credits,Dr. Jacob Benjamins,https://faculty.icscanada.edu,Philosophy of Attention & Practice,"What is happening to attention in the age of digital distraction? What are the consequences of viewing attention as a monetized and commodified resource? And how are habits of attention entangled with spiritual life and practice? This course explores these questions by considering attention as one part of a broader way of inhabiting the world. Major topics covered include the phenomenology of attention, the impact of digital technologies on attention, socio-political implications of living in an attention economy, and the cultivation of contemplative forms of attention. A key component of this course is an opportunity for students to consider their own habits of attention. Alongside weekly readings, students will engage spiritual practices that aim to cultivate contemplative forms attention (broadly construed) and resist negative forms of fragmentation and distraction of digital life—silence, stillness, digital fasting, time in nature, slow reading, ethical listening, engaging the arts, hospitality, and more.",,,Online Synchronous,Thursdays,6pm - 9pm ET,,,,,,"To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 11 Maximum enrolment of 12 students. ICS reserves the right to decline registrations.
*Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.",academic-registrar@icscanada.edu,September 11,12,2026-05-19
120107-220107-f26-65aeb,TRUE,,Reconsidering Kant's Aesthetics,120107 / 220107,fall26,ma mws phd,3 Credits,Dr. Rebekah Smick,https://faculty.icscanada.edu/rsmick,Modern Aesthetics Seminar,"Until recently, it was customary to regard Kant as the thinker who definitively separated aesthetic knowledge from the domains of reason and morality by identifying its core epistemological activity as a kind of judgment that he qualified as a matter of taste. The postmodern rejection of the “modernist” practice of aesthetic theory, however, has done much to undermine Kant’s position in both the arts and in philosophy. This course aims to re-examine Kant’s aesthetic theory as set out in his *Critique of Judgment* of 1790 from the vantage point of the art theoretical literature that preceded it vis a vis the integral place of the aesthetic in both premodern ethics and theology. In an effort to better understand Kant’s contribution to the history of thought about art and its purposes, it will seek to contextualize such “Kantian” themes as judgment, taste, genius, beauty, sublimity and purposiveness. It will also consider to what degree our understanding of Kant has been shaped by later modernist assumptions about the character of his contribution.",,ICH3761H / ICH6761H L6201,Online Synchronous,Thursdays,10am - 1pm ET,https://docs.google.com/document/d/e/2PACX-1vT0fMsseLHACqeRzAqQAEnlPiiEY3Wt6s3LENHeC3nFV4fKkrrhDal0LpTl8TMB9w/pub,,,,,"To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 11 Maximum enrolment of nine (9) students. ICS reserves the right to decline registrations.
Attention TST students: if you are interested in taking this course for credit, you must petition your college of registration to count the course credit toward your degree program.*",academic-registrar@icscanada.edu,September 11,9,2026-05-19
the-craft-of-reflective-practice-99acb,TRUE,,The Craft of Reflective Practice,132501 / 232501,fall26,mael cstc,3 Credits,Dr. Gideon Strauss,https://faculty.icscanada.edu/gstrauss,,"We humans make sense of things by telling stories. In this course we will learn how to do critical reflective practice, primarily by telling stories about our everyday professional lives. We will zoom in on the story of an ordinary day at work, and then zoom out to the story of our career to date, zoom out further to the story of our work community, and zoom out even further to the overarching story of God’s world. In the process we will learn qualitative research skills, receive an introduction to phenomenology (the philosophical study of lived experience), develop our own approach to praxis (that is, the craft of morally-oriented, theoretically-informed, and theory-generating critically reflective practice), and, most significantly, come to terms with who we are in what we do.",,,Blended (Online Asynchronous/Synchronous),,,https://docs.google.com/document/d/e/2PACX-1vTXIBYG4YzqNuZKsblZ-WOrvXeWiAcduXKXUyp3XL1SrmJY4tJsNZ_zRBVOV4KDxu6K8eWKjHmQ92-G/pub,"Britzman, D. P. (2003). Practice makes practice: A critical study of learning to teach

Amazon CA (print), Thriftbooks, Abebooks

*students should order a copy as soon as possible, because this book is only available in used format, and shipping may take a long time, so they'll need to make sure they have the book arrive in time before the course starts in the second week of September.*",,Area 2,CSTC,"To register for this course, email academic-registrar@icscanada.edu. Last date to register is September 8 (Note that the first session for this course takes place on September 10). Maximum enrolment of twelve (12) students. ICS reserves the right to decline registrations.",academic-registrar@icscanada.edu,2026-09-08 0:00:00,12,2026-05-19
